Sigla,Nome da Fundação,Instituição(ões) Apoiada(s),UF,Tipo de Instituição,Sistema de Ouvidoria,Ouvidoria Própria?,Canal / URL,Verificação,Observações
FEST,Fundação Espírito-Santense de Tecnologia,UFES,ES,Universidade Federal,A verificar,A verificar,,Pendente,
FUCAM,Fundação Ceciliano Abel de Almeida,UFES,ES,Universidade Federal,A verificar,A verificar,,Pendente,
FUNDAHC,Fundação de Apoio ao Hospital das Clínicas da UFG,UFG,GO,Universidade Federal,A verificar,A verificar,,Pendente,
RTVE,Fundação RTVE,UFG,GO,Universidade Federal,A verificar,A verificar,,Pendente,
FJM,Fundação Josué Montello,UFMA,MA,Universidade Federal,A verificar,A verificar,,Pendente,
FSADU,Fundação Sousândrade de Apoio ao Desenvolvimento da UFMA,UFMA,MA,Universidade Federal,A verificar,A verificar,,Pendente,
FACEPE-UNIFAL,"Fundação de Apoio à Cultura, Ensino, Pesquisa e Extensão",UNIFAL,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FACEV,Fundação de Apoio e Desenvolvimento Científico,UFV,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FADEPE/JF,"Fundação de Apoio e Desenvolvimento ao Ensino, Pesquisa e Extensão",UFJF,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FAEPE,"Fundação de Apoio ao Ensino, Pesquisa e Extensão",UFLA,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FAEPU,"Fundação de Assistência, Estudo e Pesquisa de Uberlândia",UFU,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FAPEPE,"Fundação de Apoio à Pesquisa, Ensino e Extensão",UNIFEI,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FAU-UFU,Fundação de Apoio Universitário,UFU,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FAUF,Fundação de Apoio à Universidade Federal de São João del-Rei,UFSJ,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FCO,Fundação Christiano Ottoni,UFMG,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FCT/JF,Fundação para Pesquisa Científica e Tecnológica,UFJF,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FEOP,Fundação Educativa de Ouro Preto,UFOP,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FEPE,Fundação de Ensino e Pesquisa,UFMG,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FHU,Fundação do Hospital Universitário da UFJF,UFJF,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FUNDAEPE,"Fundação de Apoio ao Ensino, Pesquisa e Extensão",UFVJM,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FUNDECC,Fundação de Desenvolvimento Científico e Cultural,UFLA,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FUPAI,Fundação de Pesquisa e Assessoramento à Indústria,UNIFEI,MG,Universidade Federal,A verificar,A verificar,,Pendente,
GORCEIX,Fundação Gorceix,UFOP,MG,Universidade Federal,A verificar,A verificar,,Pendente,
IMEPEN,Fundação IMEPEN,UFJF,MG,Universidade Federal,A verificar,A verificar,,Pendente,
IPEAD,"Fundação Instituto de Pesquisas Econômicas, Administrativas e Contábeis",UFMG,MG,Universidade Federal,A verificar,A verificar,,Pendente,
FUNAEPE,"Fundação de Apoio ao Ensino, Pesquisa e Extensão",UFGD,MS,Universidade Federal,A verificar,A verificar,,Pendente,
UNISELVA,Fundação de Apoio e Desenvolvimento da UFMT,UFMT,MT,Universidade Federal,A verificar,A verificar,,Pendente,
FUNPEA,"Fundação de Apoio ao Ensino, Pesquisa e Extensão",UFPA,PA,Universidade Federal,A verificar,A verificar,,Pendente,
PaqTcPB,Fundação Parque Tecnológico da Paraíba,UFCG,PB,Universidade Federal,A verificar,A verificar,,Pendente,
FADURPE,Fundação Apolônio Salles de Desenvolvimento Educacional,UFRPE,PE,Universidade Federal,A verificar,A verificar,,Pendente,
FADEX,"Fundação Cultural e de Fomento à Pesquisa, Ensino e Extensão",UFPI,PI,Universidade Federal,A verificar,A verificar,,Pendente,
FUNPAR,Fundação da Universidade Federal do Paraná,UFPR,PR,Universidade Federal,A verificar,A verificar,,Pendente,
FUNTEF-PR,"Fundação de Apoio à Educação, Pesquisa e Desenvolvimento Científico",UTFPR,PR,Universidade Federal,A verificar,A verificar,,Pendente,
FUPEF,Fundação de Pesquisas Florestais do Paraná,UFPR,PR,Universidade Federal,A verificar,A verificar,,Pendente,
BIORIO,Fundação Bio-Rio,UFRJ,RJ,Universidade Federal,A verificar,A verificar,,Pendente,
FEC,Fundação Euclides da Cunha,UFF,RJ,Universidade Federal,A verificar,A verificar,,Pendente,
FUJB,Fundação Universidade-Empresa de Tecnologia e Ciências (José Bonifácio),UFRJ,RJ,Universidade Federal,A verificar,A verificar,,Pendente,
FUNRIO,Fundação de Apoio à Pesquisa e Extensão,UFRJ,RJ,Universidade Federal,A verificar,A verificar,,Pendente,
FURJ,Fundação Universitária José Bonifácio,UFRJ,RJ,Universidade Federal,A verificar,A verificar,,Pendente,
FGD,Fundação Guimarães Duque,UFERSA,RN,Universidade Federal,A verificar,A verificar,,Pendente,
FAHERG,Fundação de Apoio ao Hospital Universitário (Dr. Riet Corrêa Jr.),HU-FURG,RS,Universidade Federal,A verificar,A verificar,,Pendente,
FATEC-UFSM,Fundação de Apoio à Tecnologia e Ciência,UFSM,RS,Universidade Federal,A verificar,A verificar,,Pendente,
FAURG,Fundação de Apoio à Universidade Federal do Rio Grande,FURG,RS,Universidade Federal,A verificar,A verificar,,Pendente,
FAURGS,Fundação de Apoio da Universidade Federal do Rio Grande do Sul,UFRGS,RS,Universidade Federal,A verificar,A verificar,,Pendente,
FDMS,Fundação Delfim Mendes Silveira,UFPel,RS,Universidade Federal,A verificar,A verificar,,Pendente,
FEEng,Fundação Empresa Escola de Engenharia da UFRGS,UFRGS,RS,Universidade Federal,A verificar,A verificar,,Pendente,
FLE,Fundação Luiz Englert,UFRGS,RS,Universidade Federal,A verificar,A verificar,,Pendente,
FSB,Fundação Simon Bolívar,UFPel,RS,Universidade Federal,A verificar,A verificar,,Pendente,
FUNDMED,Fundação Médica do Rio Grande do Sul,UFRGS / HCPA,RS,Universidade Federal,A verificar,A verificar,,Pendente,
FAPEU,Fundação de Amparo à Pesquisa e Extensão Universitária,"UFSC, IFSC, UFFS",SC,Universidade Federal,A verificar,A verificar,,Pendente,
FEESC,Fundação de Ensino e Engenharia de Santa Catarina (Stemmer),UFSC,SC,Universidade Federal,A verificar,A verificar,,Pendente,
FEPESE,Fundação de Estudos e Pesquisas Socioeconômicos,UFSC,SC,Universidade Federal,A verificar,A verificar,,Pendente,
FUNJAB,Fundação José Arthur Boiteux,UFSC,SC,Universidade Federal,A verificar,A verificar,,Pendente,
FAPESE,Fundação de Apoio à Pesquisa e Extensão de Sergipe,UFS,SE,Universidade Federal,A verificar,A verificar,,Pendente,
FAPTO,Fundação de Apoio Científico e Tecnológico do Tocantins,UFT,TO,Universidade Federal,A verificar,A verificar,,Pendente,
